# Species Clustering Database for APOGEE V05
# Format: ClusterNum<TAB>SpeciesA<TAB>SpeciesB<TAB>ClusterName<TAB>Genus
# Total clusters: 489

1	Achlya americana	Achlya aquatica	Achlya americana cluster	Achlya
1	Achlya americana	Achlya dubia	Achlya americana cluster	Achlya
1	Achlya americana	Achlya glomerata	Achlya americana cluster	Achlya
1	Achlya aquatica	Achlya dubia	Achlya americana cluster	Achlya
1	Achlya aquatica	Achlya glomerata	Achlya americana cluster	Achlya
1	Achlya dubia	Achlya glomerata	Achlya americana cluster	Achlya
2	Achlya bisexualis	Achlya heterosexualis	Achlya bisexualis cluster	Achlya
3	Achlya caroliniana	Achlya conspicua	Achlya caroliniana cluster	Achlya
3	Achlya caroliniana	Achlya flagellata	Achlya caroliniana cluster	Achlya
3	Achlya conspicua	Achlya flagellata	Achlya caroliniana cluster	Achlya
4	Achlya colorata	Achlya racemosa	Achlya colorata cluster	Achlya
4	Achlya colorata	Achlya sparrowii	Achlya colorata cluster	Achlya
4	Achlya racemosa	Achlya sparrowii	Achlya colorata cluster	Achlya
5	Bremia centaureae	Bremia tulasnei	Bremia centaureae cluster	Bremia
6	Bremia elliptica	Bremia lactucae	Bremia elliptica cluster	Bremia
7	Brevilegnia gracilis	Globisporangium ultimum	Brevilegnia gracilis cluster	Brevilegnia
8	Globisporangium sylvaticum	Pythium terrestris	Globisporangium sylvaticum cluster	Globisporangium
9	Peronospora alchemillae	Peronospora potentillae-anserinae	Peronospora alchemillae cluster	Peronospora
9	Peronospora alchemillae	Peronospora potentillae-reptantis	Peronospora alchemillae cluster	Peronospora
9	Peronospora alchemillae	Peronospora sanguisorbae	Peronospora alchemillae cluster	Peronospora
9	Peronospora alchemillae	Peronospora sparsa	Peronospora alchemillae cluster	Peronospora
9	Peronospora potentillae-anserinae	Peronospora potentillae-reptantis	Peronospora alchemillae cluster	Peronospora
9	Peronospora potentillae-anserinae	Peronospora sanguisorbae	Peronospora alchemillae cluster	Peronospora
9	Peronospora potentillae-anserinae	Peronospora sparsa	Peronospora alchemillae cluster	Peronospora
9	Peronospora potentillae-reptantis	Peronospora sanguisorbae	Peronospora alchemillae cluster	Peronospora
9	Peronospora potentillae-reptantis	Peronospora sparsa	Peronospora alchemillae cluster	Peronospora
9	Peronospora sanguisorbae	Peronospora sparsa	Peronospora alchemillae cluster	Peronospora
10	Peronospora alpicola	Peronospora pulveracea	Peronospora alpicola cluster	Peronospora
11	Peronospora aparines	Peronospora calotheca	Peronospora aparines cluster	Peronospora
12	Peronospora arborescens	Peronospora argemones	Peronospora arborescens cluster	Peronospora
13	Peronospora atriplicis-hastatae	Peronospora litoralis	Peronospora atriplicis-hastatae cluster	Peronospora
13	Peronospora atriplicis-hastatae	Peronospora minor	Peronospora atriplicis-hastatae cluster	Peronospora
13	Peronospora litoralis	Peronospora minor	Peronospora atriplicis-hastatae cluster	Peronospora
14	Peronospora belbahrii	Peronospora glechomae	Peronospora belbahrii cluster	Peronospora
14	Peronospora belbahrii	Peronospora salviae-officinalis	Peronospora belbahrii cluster	Peronospora
14	Peronospora glechomae	Peronospora salviae-officinalis	Peronospora belbahrii cluster	Peronospora
15	Peronospora bulbocapni	Peronospora chrysosplenii	Peronospora bulbocapni cluster	Peronospora
15	Peronospora bulbocapni	Peronospora eranthidis	Peronospora bulbocapni cluster	Peronospora
15	Peronospora chrysosplenii	Peronospora eranthidis	Peronospora bulbocapni cluster	Peronospora
16	Peronospora cyparissiae	Peronospora esulae	Peronospora cyparissiae cluster	Peronospora
17	Peronospora effusa	Peronospora farinosa	Peronospora effusa cluster	Peronospora
17	Peronospora effusa	Peronospora lepigoni	Peronospora effusa cluster	Peronospora
17	Peronospora effusa	Peronospora obovata	Peronospora effusa cluster	Peronospora
17	Peronospora effusa	Peronospora polycarpi	Peronospora effusa cluster	Peronospora
17	Peronospora effusa	Peronospora rumicis	Peronospora effusa cluster	Peronospora
17	Peronospora effusa	Peronospora schachtii	Peronospora effusa cluster	Peronospora
17	Peronospora farinosa	Peronospora lepigoni	Peronospora effusa cluster	Peronospora
