seq	len
SN:GCA_000011805.1	922
SN:GCA_000011805.2	561
SN:GCA_000196035.1	1941
SN:GCA_000007345.1	154
SN:GCA_000013445.1	412
SN:GCA_000007585.1	1965
SN:GCA_000012685.1	154
SN:GCA_000006825.1	151
SN:GCA_000009265.1	424
SN:GCA_000009265.2	154
SN:GCA_000009105.1	154
SN:GCA_000046705.1	2433
SN:GCA_000046705.2	2058
SN:GCA_000025565.1	154
SN:GCA_000025685.1	154
SN:GCA_000013125.1	2382
SN:GCA_000196115.1	1914
SN:GCA_000196115.2	2694
SN:GCA_000196115.3	732
SN:GCA_000014005.1	2640
SN:GCA_000007325.1	1920
SN:GCA_000009645.1	1935
SN:GCA_000009045.1	1917
SN:GCA_000007145.1	154
SN:GCA_000069245.1	151
SN:GCA_000069965.1	2415
SN:GCA_000008985.1	2418
SN:GCA_000203855.1	1947
SN:GCA_000009125.1	940
SN:GCA_000011065.1	1962
SN:GCA_000007765.1	2433
SN:GCA_000011085.1	154
SN:GCA_000016305.1	922
SN:GCA_000007785.1	1929
SN:GCA_000069025.1	154
SN:GCA_000008145.1	907
SN:GCA_000014445.1	2019
SN:GCA_000263555.1	2076
SN:GCA_000263555.2	2361
SN:GCA_000195735.1	1989
SN:GCA_000195735.2	154
SN:GCA_000008025.1	2388
SN:GCA_000006885.1	151
SN:GCA_000092565.1	2136
SN:GCA_000092565.2	1920
SN:GCA_000008345.1	2073
SN:GCA_000008345.2	2097
SN:GCA_000072485.1	919
SN:GCA_000009725.1	3237
SN:GCA_000008725.1	1818
SN:GCA_000008725.2	2415
SN:GCA_000006865.1	1956
SN:GCA_000009205.1	1902
SN:GCA_000012005.1	922
SN:GCA_000008685.1	1905
SN:GCA_000014805.1	154
SN:GCA_000014805.2	639
SN:GCA_000009605.1	2412
SN:GCA_000012785.1	907
SN:GCA_000012905.1	901
SN:GCA_000007885.1	357
SN:GCA_000007885.2	154
SN:GCA_000027345.1	154
SN:GCA_000011365.1	430
SN:GCA_000011365.2	151
SN:GCA_000007925.1	1977
SN:GCA_000006905.1	151
SN:GCA_000007525.1	2319
SN:GCA_000007525.2	2091
SN:GCA_000023205.1	2163
SN:GCA_000008625.1	154
SN:GCA_000203895.1	2431
SN:GCA_000011385.1	433
SN:GCA_000013045.1	1959
SN:GCA_000092025.1	421
SN:GCA_000092025.2	154
SN:GCA_000005845.1	922
SN:GCA_000006625.1	1953
SN:GCA_000015885.1	2433
SN:GCA_000195755.1	2397
SN:GCA_000013085.1	154
SN:GCA_000007985.1	154
SN:GCA_000010625.1	1923
SN:GCA_000009085.1	2310
SN:GCA_000021045.1	922
SN:GCA_000006965.1	2428
SN:GCA_000006985.1	1944
SN:GCA_000011345.1	1923
SN:GCA_000064305.1	1944
SN:GCA_000020985.1	2280
SN:GCA_000008305.1	1908
SN:GCA_000017965.1	1935
SN:GCA_000026045.1	154
SN:GCA_002566505.1	1926
SN:GCA_000178595.1	2433
SN:GCA_002875495.1	384
SN:GCA_002875495.2	922
SN:GCA_900128865.1	151
SN:GCA_003326245.1	1938
SN:GCA_000014225.1	154
SN:GCA_001954415.1	1911
SN:GCA_900502785.1	922
SN:GCA_000316195.1	1911
SN:GCA_000273055.1	1965
SN:GCA_000273055.2	1878
SN:GCA_006376535.1	154
SN:GCA_000215385.1	1947
SN:GCA_003694525.1	154
SN:GCA_901232715.1	151
SN:GCA_003460385.1	1938
SN:GCA_000196595.1	151
SN:GCA_000230915.1	154
SN:GCA_900505385.1	922
SN:GCA_000273015.1	1962
SN:GCA_000273015.2	1872
SN:GCA_000011745.1	2415
SN:GCA_000013705.1	898
SN:GCA_000021845.1	904
SN:GCA_003661945.1	154
SN:GCA_000148205.1	1029
SN:GCA_000148205.2	1950
SN:GCA_005236415.1	1950
SN:GCA_005236415.2	1029
SN:GCA_002946895.1	1947
SN:GCA_900101615.1	2448
SN:GCA_000020965.1	1908
SN:GCA_000157655.1	1947
SN:GCA_000273965.1	2322
SN:GCA_000015525.1	2310
SN:GCA_002355375.1	1917
SN:GCA_000225565.1	922
SN:GCA_005862035.1	1935
SN:GCA_000192275.1	1950
SN:GCA_000328525.1	154
SN:GCA_000148935.1	916
SN:GCA_000301075.1	1938
SN:GCA_000301075.2	1851
SN:GCA_004354345.1	2607
SN:GCA_004354345.2	1983
SN:GCA_000281215.1	922
SN:GCA_000248035.1	2064
SN:GCA_002848365.1	2418
SN:GCA_002683675.1	154
SN:GCA_003459005.1	1866
SN:GCA_003459005.2	1956
SN:GCA_003768925.1	922
SN:GCA_000176675.1	922
SN:GCA_900103025.1	1914
SN:GCA_002565815.1	1929
SN:GCA_000161335.1	1929
SN:GCA_000327395.1	1905
SN:GCA_900105035.1	1941
SN:GCA_003816015.1	1884
SN:GCA_003816015.2	1935
SN:GCA_000283295.1	2028
SN:GCA_000283295.2	1920
SN:GCA_000327325.1	2064
SN:GCA_900509135.1	922
SN:GCA_003259335.1	1983
SN:GCA_003259335.2	1887
SN:GCA_000325745.1	2430
SN:GCA_000325745.2	2082
SN:GCA_004353925.1	154
SN:GCA_000332215.1	160
SN:GCA_000296855.1	154
SN:GCA_004013075.1	2322
SN:GCA_000259175.1	2415
SN:GCA_003337235.1	1974
SN:GCA_000171155.1	1917
SN:GCA_900507075.1	922
SN:GCA_002812955.1	2418
SN:GCA_003942275.1	1950
SN:GCA_900461075.1	922
SN:GCA_000265385.1	1851
SN:GCA_000265385.2	1941
SN:GCA_000092925.1	2043
SN:GCA_000092925.2	151
SN:GCA_000184945.1	424
SN:GCA_000184945.2	2040
SN:GCA_000299095.1	2055
SN:GCA_003288955.1	922
SN:GCA_003533205.1	154
SN:GCA_000257905.1	1947
SN:GCA_900167365.1	154
SN:GCA_000015325.1	928
SN:GCA_000178155.1	1986
SN:GCA_000178155.2	154
SN:GCA_000232225.1	151
SN:GCA_003860215.1	895
SN:GCA_000185245.1	2322
SN:GCA_003425835.1	1935
SN:GCA_000009305.1	2322
SN:GCA_001813105.1	1950
